"gene","PID_ATF2_PATHWAY"
"EHMT2",0
"ADIPOR2",0
"ADIPOR1",0
"HPRT1",0
"PTPN6",0
"MARK4",0
"FOSL1",0
"MARK2",0
"FOSL2",0
"CD63",0
"CCDC12",0
"CD68",0
"TPD52L1",0
"SHCBP1",0
"HRK",1
"SRP68",0
"PPP2R1A",0
"PPP2R1B",0
"TIMM9",0
"USP9X",0
"WASL",0
"WNT2B",0
"IDH3A",0
"HSPB1",0
"PKN1",0
"PKN2",0
"RHOBTB2",0
"RHOBTB1",0
"CCR5",0
"PLOD3",0
"ERBB2IP",0
"LIG4",0
"CSNK1D",0
"CSNK1E",0
"LIG1",0
"LIG3",0
"IREB2",0
"FNTA",0
"EPB41L2",0
"CSPG4",0
"ZKSCAN3",0
"ZKSCAN5",0
"ZKSCAN4",0
"DCP1B",0
"DCP1A",0
"GPBAR1",0
"TUBA1C",0
"TUBA1B",0
"TUBA1A",0
"CHMP5",0
"GNG2",0
"TAF6",0
"TAF5",0
"TAF4",0
"TAF2",0
"TAF1",0
"G6PD",0
"TAF9",0
"HMOX2",0
"GNG8",0
"AGPS",0
"FOSB",0
"CCNG1",0
"CCNG2",0
"PDXK",0
"CLTCL1",0
"AP2M1",0
"SOS1",0
"PDCD4",0
"PDCD1",0
"PRUNE",0
"MINA",0
"ARFGEF2",0
"SMU1",0
"ZNF100",0
"SREBF2",0
"SLC29A4",0
"OXCT1",0
"KARS",0
"SRC",0
"SSRP1",0
"IL12A",0
"CIT",0
"SRF",0
"PDE2A",0
"RNGTT",0
"TAF6L",0
"TATDN2",0
"RPIA",0
"EIF2C4",0
"MTA1",0
"MTA2",0
"PRPS1L1",0
"EIF2C1",0
"GAPDHS",0
"GPC1",0
"GPC2",0
"GPC3",0
"GPC4",0
"HEPH",0
"MTAP",0
"SEC22B",0
"ELANE",0
"AGL",0
"AGA",0
"CS",0
"PDCD10",0
"C13orf15",0
"PIK3CA",0
"PIK3CB",0
"PIK3CD",0
"PIK3CG",0
"SFRP2",0
"POLR3GL",0
"PIK3C3",0
"MAX",0
"PARP14",0
"MAG",0
"MAF",0
"ACLY",0
"MAK",0
"ALDH3A2",0
"MGST2",0
"MGST3",0
"MGST1",0
"EDC4",0
"SEMA4C",0
"CSDE1",0
"PAM16",0
"GMDS",0
"WSB1",0
"SEMA4G",0
"MPV17",0
"ANAPC1",0
"ANAPC2",0
"ANAPC5",0
"ANAPC4",0
"ANAPC7",0
"RPS6KA1",0
"RPS6KA2",0
"SNRPB2",0
"RPS6KA4",0
"RPS6KA5",0
"SH3D19",0
"PSMD14",0
"PSMD11",0
"PSMD10",0
"PSMD13",0
"PSMD12",0
"FTCD",0
"MINPP1",0
"GANAB",0
"VAPB",0
"VAPA",0
"CTH",0
"EXOSC10",0
"ARF3",0
"ARF1",0
"ARF6",0
"ARF5",0
"ARF4",0
"MYLK3",0
"RAB11FIP3",0
"RAB11FIP2",0
"RAB11FIP1",0
"RAB11FIP5",0
"RAB11FIP4",0
"SPP1",0
"MYL6B",0
"IFIH1",0
"HMGB2",0
"HMGB1",0
"AASS",0
"KIF4B",0
"KIF4A",0
"CLIP1",0
"ETNK2",0
"ETNK1",0
"CD48",0
"MND1",0
"CD44",0
"CD47",0
"CD40",0
"FPGT",0
"FPGS",0
"TPSAB1",0
"EIF4E3",0
"EIF4E2",0
"TBL1X",0
